,CIA,ClimateEnvoy,CommerceGov,DeptofDefense,DeptVetAffairs,DHSgov,ENERGY,EPA,HHSGov,HUDgov,Interior,OMBPress45,op.ed,POTUS,SBAgov,SecBlinken,SecCardona,SecDef,SecFudge,SecGranholm,SecMayorkas,SecRaimondo,SecretaryPete,SecVilsack,SecYellen,StateDept,TheJusticeDept,USAmbUN,USDA,USDOL,usedgov,USTradeRep45,USTreasury,VP,WHCOS
11,-0.121696449,-0.1556622,0.046479398,-0.196557149,-0.224686882,-0.10476573,0.405403936,0.41023024,-0.04970078,-0.019351117,0.378221176,0.084764508,-0.355005472,-0.318536942,0.642729128,-0.259501547,0.138183067,-0.217321447,-0.059833922,0.315741921,-0.232141738,-0.162114306,-0.093280683,-0.210661597,-0.341092143,-0.107371475,-0.295343419,-0.236170028,0.239324033,-0.115219424,0.594725121,-0.19503525,-0.184631184,-0.24841779,-0.143219096
12,0.414112003,-0.31461844,0.574617401,-0.014021268,-0.139664192,0.364471368,0.350150423,-0.225848961,0.265866124,-0.058956887,0.205041041,0.524389377,-1.234291273,-0.492433086,0.828157921,-0.450561892,-0.328676152,-0.10914238,0.111169349,0.194944477,-0.037296434,0.347883148,-0.195597268,-0.409605611,-0.166636798,-0.380717741,-0.132474511,-0.132541086,0.055547567,-0.038475133,0.098056765,-0.372915777,-0.188196921,-0.539380815,-0.130428139
13,-0.327517014,0.383292045,0.142506239,-0.309863318,-0.209889702,0.039416932,0.128361248,0.162842641,0.214575265,-0.528847673,-0.008253051,-0.524194213,0.066087976,0.073118496,0.133688325,0.547283589,0.07601666,0.184105468,0.166277056,0.026496199,0.193126456,0.408237062,-0.086891155,0.299480327,0.536628734,0.307630406,-0.472000974,0.417927195,-0.006540537,-0.124632293,0.107185568,-0.706229109,-0.518252428,0.246198145,-0.238592212
14,-0.707082603,0.457890633,-0.041925044,-0.23445309,-0.113539003,0.002129241,-0.008609646,0.000883242,-0.113096922,-0.130247289,0.081362708,-0.797042409,0.640212327,0.375714665,-0.320508817,0.460202434,0.320587973,0.022841818,0.308751284,0.12820447,0.429975992,0.34685162,0.42958738,0.470156757,0.573439002,0.219761336,-0.514907992,0.44571453,-0.222785277,0.001741579,-0.173466192,-0.65731533,-0.18624682,0.385342206,-0.023019567
15,-0.270453986,0.47394328,-0.097643788,0.268634525,-0.134915131,0.05369172,-0.081876485,-0.159015191,0.109510002,-0.19146665,-0.304372181,0.103257161,0.277608339,0.450672126,-0.416473193,0.692776812,0.097087336,0.551066296,0.132063204,0.043549328,0.223294962,0.435272421,0.082652485,0.184850522,0.496799496,0.568378231,-0.814167883,0.49875606,-0.311369277,-0.496377644,-0.3345753,-0.260204715,-0.420591518,0.583521363,0.095295315
16,-0.267226207,0.398484477,0.062776355,-0.337518523,-0.268597706,0.009957628,0.171494034,0.112137555,0.236499619,-0.449884828,0.012190379,-0.533961158,0.167290413,0.203957077,0.134982134,0.529104913,0.081467091,0.213975749,0.144835579,0.099108512,0.186964694,0.37543913,-0.091163039,0.292436343,0.617321964,0.307291632,-0.649093504,0.470325435,0.00841205,-0.190484722,0.10643744,-0.809322907,-0.611432392,0.32446977,-0.15711948
17,-0.26279449,0.368102614,0.068361937,-0.32788939,-0.239879267,-0.002199893,0.195911168,0.130343911,0.250555193,-0.459363224,0.036399571,-0.525075876,0.107197304,0.171718175,0.167389639,0.479786116,0.082825542,0.191325993,0.13377404,0.097846571,0.148772354,0.351206581,-0.08397597,0.268242647,0.591629723,0.273698201,-0.626158383,0.413208101,0.008648606,-0.173488153,0.119174966,-0.796798749,-0.588068611,0.307278383,-0.163898698
18,0.399231193,-0.307522783,0.157855222,0.170506026,0.191552769,-0.02379759,0.003902212,0.140597435,0.354183802,-0.050077402,-0.012961344,0.151710113,-1.079160416,-0.372515449,0.296179807,0.160267441,-0.439099455,0.178412357,-0.090988222,-0.346297265,-0.403897873,-0.197804876,-0.729775117,-0.366646049,-0.489838844,0.082824537,0.682514301,-0.045862041,0.094004063,-0.364048875,0.173875926,0.399778017,-0.246652622,-0.20825208,-0.32214127
19,-0.190050434,-0.159357862,0.034185375,-0.226667243,-0.299790666,0.277885294,0.595336597,0.035717035,-0.085111454,-0.131508116,-0.053169904,0.358534804,0.060468563,-0.078958061,1.28963686,-0.361669592,-0.26556811,-0.073910842,-0.266065721,0.468612189,-0.065924535,0.023874848,-0.12898658,-0.254217298,-0.227349878,-0.139333003,-0.408194059,-0.182913823,0.138854194,-0.022850688,0.300956721,-0.35283088,-0.151290496,-0.135238163,-0.086736631
20,0.604090243,-0.336790302,0.302237329,-0.352383215,-0.360445624,0.049711974,0.453835406,0.222211875,0.440664478,0.000296005,0.090043046,0.196887264,-0.358866411,-0.430658087,0.737722003,-0.584391694,0.076557769,-0.125822789,-0.142556631,0.142444206,-0.57147937,0.131909912,-0.445232476,-0.502829367,0.08248978,-0.288045843,-0.657559833,-0.429506203,0.180172226,0.199413736,0.621627355,-0.366969789,0.148555814,-0.507176046,-0.065678165
